AIRPORT,24-33-22.0000N,081-45-34.4000W
AIRPORT,44-28-19.0400N,073-09-11.8019W
AIRPORT,43-54-29.8000N,092-30-00.1000W
AIRPORT,36-46-35.6000N,119-43-07.8000W
AIRPORT,34-53-44.4000N,082-13-07.9000W
AIRPORT,64-48-54.4000N,147-51-23.2000W
AIRPORT,45-48-27.5800N,108-32-34.3500W
AIRPORT,30-28-24.3320N,087-11-11.8040W
AIRPORT,27-23-43.6000N,082-33-15.8000W
AIRPORT,36-16-53.6858N,094-18-27.9592W
AIRPORT,33-18-28.2000N,111-39-19.7000W
AIRPORT,45-46-39.2580N,111-09-07.2776W
AIRPORT,47-31-48.0000N,122-18-07.1000W
AIRPORT,40-47-42.9000N,073-06-00.8000W
AIRPORT,34-38-13.9000N,086-46-30.2000W
AIRPORT,34-59-28.4000N,078-52-49.0000W
AIRPORT,31-04-02.1000N,097-49-44.1000W
AIRPORT,33-39-49.2000N,101-49-14.0000W
AIRPORT,18-29-41.5000N,067-07-46.0000W
AIRPORT,35-48-39.5000N,083-59-38.5000W
AIRPORT,34-49-45.0000N,077-36-43.7000W
AIRPORT,44-44-29.7000N,085-34-54.4000W
AIRPORT,48-47-33.7000N,122-32-15.1000W
AIRPORT,30-28-59.5899N,086-31-33.7596W
AIRPORT,37-17-05.1000N,120-30-50.1000W
AIRPORT,39-13-18.7600N,106-52-05.6450W
AIRPORT,58-21-17.0650N,134-34-28.8600W
AIRPORT,39-27-27.3000N,074-34-37.8000W
AIRPORT,27-54-35.9974N,082-41-15.1609W
AIRPORT,18-08-05.3200N,065-29-37.0200W
AIRPORT,42-11-43.3000N,089-05-50.0000W
AIRPORT,44-07-28.5000N,123-12-43.1000W
AIRPORT,30-21-29.7000N,085-47-44.2000W
AIRPORT,32-59-15.5000N,097-19-07.7000W
AIRPORT,32-18-40.2000N,090-04-33.2000W
AIRPORT,41-04-01.0299N,073-42-27.2396W
AIRPORT,40-51-03.2000N,096-45-32.8000W
AIRPORT,43-34-55.2480N,096-44-30.8890W
AIRPORT,31-56-33.1000N,102-12-06.9000W
AIRPORT,33-21-28.5840N,080-27-35.3310W
AIRPORT,48-42-30.0000N,122-54-38.1000W
AIRPORT,15-07-12.9180N,145-43-47.9427E
AIRPORT,26-13-37.6000N,097-39-18.5000W
AIRPORT,43-36-26.4000N,110-44-15.9000W
AIRPORT,41-07-34.4000N,100-41-01.2000W
AIRPORT,36-55-33.9000N,111-26-54.1000W
AIRPORT,35-13-09.7000N,101-42-21.3000W
AIRPORT,40-43-43.6000N,073-24-48.3000W
AIRPORT,41-53-04.8789N,091-42-38.8750W
AIRPORT,35-26-10.3000N,082-32-30.5000W
AIRPORT,42-57-55.5000N,083-44-37.2000W
AIRPORT,40-58-03.1530N,098-18-34.7000W
AIRPORT,40-58-40.2000N,124-06-30.5000W
AIRPORT,46-15-52.9000N,119-07-08.5000W
AIRPORT,31-21-27.9000N,100-29-46.7000W
AIRPORT,34-16-16.1505N,077-54-10.4124W
AIRPORT,44-22-57.7000N,100-17-09.5000W
AIRPORT,42-22-27.2000N,122-52-24.6000W
AIRPORT,38-33-19.1000N,121-17-49.9000W
AIRPORT,38-30-35.3000N,107-53-39.3000W
AIRPORT,55-21-14.7000N,131-42-40.4000W
AIRPORT,47-28-57.5541N,111-22-14.1961W
AIRPORT,33-56-19.8000N,081-07-10.3000W
AIRPORT,60-46-42.8000N,161-50-13.8000W
AIRPORT,31-35-18.5000N,110-20-39.8000W
AIRPORT,39-51-23.1450N,096-37-50.5650W
AIRPORT,33-07-41.7000N,117-16-48.3000W
AIRPORT,30-23-48.3000N,084-21-03.1000W
AIRPORT,29-10-47.7000N,081-03-29.0000W
AIRPORT,48-18-37.7000N,114-15-21.6000W
AIRPORT,27-46-15.9263N,097-30-04.4320W
AIRPORT,47-54-25.2000N,122-16-53.7000W
AIRPORT,37-44-29.8720N,092-08-26.6500W
AIRPORT,46-54-58.7000N,114-05-26.0000W
AIRPORT,18-20-14.3000N,064-58-24.0000W
AIRPORT,20-47-08.2000N,156-57-05.1050W
AIRPORT,38-02-12.3000N,084-36-31.1000W
AIRPORT,46-55-14.3400N,096-48-56.7500W
AIRPORT,30-24-26.2000N,089-04-12.3000W
AIRPORT,26-10-33.0000N,098-14-19.0000W
AIRPORT,39-48-49.6000N,082-55-40.1000W
AIRPORT,44-15-14.6000N,121-08-59.9000W
AIRPORT,48-15-27.5000N,101-16-40.9000W
AIRPORT,27-32-39.1000N,099-27-41.7000W
AIRPORT,37-45-47.2000N,099-57-55.5000W
AIRPORT,39-56-34.8626N,091-11-40.0681W
AIRPORT,20-57-46.5710N,156-40-22.9140W
AIRPORT,37-02-11.0000N,113-30-37.1000W
AIRPORT,40-39-08.5000N,075-26-25.5000W
AIRPORT,34-25-34.3000N,119-50-29.4000W
AIRPORT,41-26-53.8281N,090-30-27.0724W
AIRPORT,46-47-50.4000N,102-48-06.7000W
AIRPORT,41-42-29.6000N,086-19-02.4000W
AIRPORT,39-08-28.4422N,096-40-18.4692W
AIRPORT,37-55-39.1000N,100-43-27.9000W
AIRPORT,39-38-33.9000N,106-54-57.4000W
AIRPORT,44-39-03.4000N,073-28-05.3000W
AIRPORT,38-30-34.8504N,122-48-46.4360W
AIRPORT,40-58-42.5000N,085-11-42.6000W
AIRPORT,48-10-40.5790N,103-38-32.4480W
AIRPORT,32-26-47.8000N,093-49-32.2000W
AIRPORT,39-07-20.6850N,108-31-36.2450W
AIRPORT,40-16-36.1000N,074-48-48.5000W
AIRPORT,41-30-14.8000N,074-06-17.4000W
AIRPORT,44-02-43.2000N,103-03-26.5000W
AIRPORT,46-24-15.2000N,094-08-01.7000W
AIRPORT,37-14-44.4000N,093-23-19.1000W
AIRPORT,40-13-09.1000N,111-43-24.1000W
AIRPORT,42-09-35.4821N,076-53-30.2844W
AIRPORT,47-30-38.6000N,094-56-05.0000W
AIRPORT,64-44-10.2000N,156-56-14.6000W
AIRPORT,47-10-06.3020N,088-29-20.6190W
AIRPORT,42-14-24.0685N,083-31-51.2124W
AIRPORT,40-39-51.1000N,089-41-35.7000W
AIRPORT,44-29-04.7000N,088-07-47.0000W
AIRPORT,28-06-09.9100N,080-38-42.9250W
AIRPORT,40-28-52.3000N,107-13-03.6000W
AIRPORT,41-15-49.5000N,072-53-12.5000W
AIRPORT,42-46-43.1000N,084-35-10.3000W
AIRPORT,26-55-08.1756N,081-59-27.3329W
AIRPORT,35-38-08.5000N,077-23-02.7000W
AIRPORT,44-54-50.3000N,097-09-17.0000W
AIRPORT,55-12-18.9425N,162-43-28.2778W
AIRPORT,37-13-31.1000N,089-34-14.7000W
AIRPORT,32-20-14.8000N,104-15-48.1000W
AIRPORT,47-23-11.7000N,092-50-20.3000W
AIRPORT,44-03-36.2677N,069-05-57.3242W
AIRPORT,60-29-30.4000N,145-28-39.2000W
AIRPORT,40-28-37.6000N,088-54-57.3000W
AIRPORT,53-53-56.1750N,166-32-42.0700W
AIRPORT,46-21-13.1000N,087-23-43.3000W
AIRPORT,33-13-15.5000N,092-48-47.8000W
AIRPORT,44-15-29.1000N,088-31-08.7000W
AIRPORT,46-22-28.2000N,117-00-55.4000W
AIRPORT,31-19-15.7000N,085-26-58.1000W
AIRPORT,47-56-50.2000N,097-10-25.6000W
AIRPORT,40-49-29.8618N,115-47-29.2024W
AIRPORT,37-19-31.7000N,079-58-31.5000W
AIRPORT,41-10-41.8000N,078-53-55.3000W
AIRPORT,41-35-12.5000N,083-48-28.2000W
AIRPORT,46-46-21.8000N,100-44-44.7000W
AIRPORT,57-44-59.8800N,152-29-37.6600W
AIRPORT,48-33-56.1000N,093-24-07.8000W
AIRPORT,29-36-26.4000N,095-09-31.5000W
AIRPORT,37-09-05.4600N,107-45-13.5690W
AIRPORT,41-52-26.5000N,103-35-44.3000W
AIRPORT,36-19-07.1000N,119-23-34.3000W
AIRPORT,31-15-32.5240N,081-27-58.7361W
AIRPORT,31-19-38.5380N,092-32-54.8020W
AIRPORT,42-24-09.4000N,096-23-03.7000W
AIRPORT,59-57-41.8710N,162-52-50.1380W
AIRPORT,45-49-06.1000N,088-06-52.4000W
AIRPORT,47-23-53.1213N,120-12-20.6547W
AIRPORT,30-31-58.4608N,091-08-59.5567W
AIRPORT,66-53-05.3079N,162-35-53.2947W
AIRPORT,30-41-29.1000N,088-14-34.2000W
AIRPORT,33-59-19.6900N,098-29-30.8500W
AIRPORT,40-16-28.6000N,079-24-24.3000W
AIRPORT,42-33-04.3000N,094-11-30.6000W
HELIPORT,40-45-16.3650N,074-00-25.5020W
AIRPORT,35-02-06.7000N,085-12-12.8000W
AIRPORT,46-41-20.2569N,068-02-41.2449W
AIRPORT,30-37-36.4000N,088-04-05.1000W
AIRPORT,42-09-12.2000N,079-15-28.9000W
AIRPORT,40-18-55.9987N,078-50-04.7787W
AIRPORT,40-46-59.6000N,091-07-31.8000W
AIRPORT,43-30-13.6100N,114-17-44.0100W
AIRPORT,25-54-22.0873N,097-25-33.5818W
AIRPORT,57-02-48.6037N,135-21-39.8473W
AIRPORT,47-42-24.7000N,104-11-33.2000W
AIRPORT,38-22-06.6281N,082-33-37.2968W
AIRPORT,46-34-05.4000N,120-32-38.6000W
AIRPORT,37-51-29.9000N,080-23-58.1000W
AIRPORT,38-15-49.8000N,078-53-47.2000W
